Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
F. W. Sweny & Co. Ltd.,http://sweny.ie/site/,+353(0)858146713,-6.250578476,53.34188602,Dublin,Dublin City,Ireland,"Historic Houses and Castle,Literary Ireland,Food Shops,Shopping"
Fairbrook House Gardens,http://www.fairbrook-house.com,35351384657,-7.2640721,52.2397987,Waterford,,Ireland,"Historic Houses and Castle,Gardens,Garden,Ruins,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Secret Valley Wildlife Park,https://www.secretvalley.ie/,353539000000,-6.755552911,52.42707607,Wexford,Clonroche,Republic of Ireland,"Visitor Farm,Cafe,Food and Drink"
Dooneen Pier,,,-10.055502,51.648764,Cork,Kilcrohane,Republic of Ireland,Discovery Point
Annagh Church,,353667000000,-9.742521,52.248165,Kerry,Blennerville,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Riversdale Barge Holidays,http://www.riversdaleholidays.com/,353720000000,-7.7950084,54.0294267,Leitrim,Ballinamore,Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Goma Contemporary Gallery,https://www.facebook.com/gomawaterford,353872000000,-7.1052349,52.2594229,Waterford,,Ireland,Art Gallery
Inch Island,,,-7.4599475,55.054828,Donegal,,Ireland,"Island,Offshore Island"
Blue Pool,,,-9.548521,51.748777,Cork,,Republic of Ireland,Discovery Point
Carrick-On-Suir Heritage Centre and Friary,https://tipperary.com/listings/carrick-on-suir-heritage-centre-friary,35351640200,-7.4131187,52.3466201,Tipperary,Carrickbeg,Ireland,"Tracing Your Ancestors,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction"
Bantry Harbour,,,-9.4615996,51.679697,Cork,Bantry,Ireland,Embarkation Point
Blackrock Wetlands,http://visitblackrock.ie,+353(0)872077193,-6.375229765,53.95684318,Louth,Blackrock,Ireland,"Bird Watching,Nature and Wildlife,Walking,Natural Landscape"
Dublin Writers Museum,http://www.writersmuseum.com,+353(0)18722077,-6.263985,53.354366,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Historic Houses and Castle,Museums and Attraction,Literary Ireland,Food Shops,Tour"
Jonathan Swift,,+353(0)16057700,-6.259186343,53.34465008,Dublin,Dublin City Centre,Republic of Ireland,Public Sculpture
Ballylarkin Abbey Freshford - Ballylarkin Church,"http://www.megalithicireland.com/Ballylarkin%20Church,%20Kilkenny.html",,-7.427511,52.722887,,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Casino Model Railway Museum,http://www.modelrailwaymuseum.ie ,35361711222,-6.1582704,53.4505763,Dublin,Malahide,Ireland,"Historic Houses and Castle,Museums and Attraction,Tour"
Ormond Castle,https://heritageireland.ie/places-to-visit/ormond-castle/,35351640787,-7.4071873,52.3453336,Tipperary,Carrickbeg,Ireland,"Covid Safety Charter,Photography,Learning,Walking,Historic Houses and Castle,Castle,Tour"
Fawnglass Loop,https://www.irishtrails.ie/trail/Clare-Island---Fawnglass-loop/143/,,-9.988141954,53.79245548,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Bishops Palace Limerick Civic Trust,http://www.limerickcivictrust.ie,35361313399,-8.625267,52.670433,Limerick,Limerick City,Republic of Ireland,"Historic Houses and Castle,Museums and Attraction"
Emo Court Gardens,http://emocourt.ie,353579000000,-7.1968533,53.107194,Laois,Emo,Ireland,"Gardening,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Gardens,Garden,Natural Landscape,Cafe,Food and Drink"
Jenkinstown Wood Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Jenkinstown-Wood-loop/125/,,-7.284483484,52.73116958,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
James Joyce,http://www.talkingstatuesdublin.ie/statues/james-joyce/,+353(0)16057700,-6.259782198,53.3499184,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue,Literary Ireland"
Ballycarbery Castle,https://www.theringofkerry.com/ballycarbery-castle,353647000000,-10.2586267,51.9489036,Kerry,Cahersiveen,Ireland,"Castle,Historic Houses and Castle,Ruins"
Belcarra Eviction Cottage,http://www.museumsofmayo.com/eviction-cottage/eviction-cottage-belcarra.html,353879000000,-9.2190281,53.8129006,Mayo,Castlebar,Ireland,Museums and Attraction
Avoca Mill,https://www.avoca.com/en/stores-and-cafes/village,35340235105,-6.210997,52.8613935,Wicklow,Avoca,Ireland,"Restaurant,Craft,Shopping,Food and Drink,Shopping Centres and Department Store,Museums and Attraction,Cafe,Vegetarian,Food Shops,Tour"
"Golden Strand, Achill Island Beach",http://www.blueflagireland.org/,+353(0)14002202,-10.00880856,53.95585687,Mayo,,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Beach"
Corcomroe Cistercian Abbey,http://monastic.ie/history/corcomroe-cisterican-abbey,353657000000,-9.0540065,53.1268421,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Dooega Beach Achill Island  ,https://www.blueflag.global/show-site?siteId=6673,35314002202,-10.0206359,53.9213832,Mayo,,Ireland,"Bird Watching,Nature and Wildlife,Swimming,Swimming Pools and Water Park,Venue,Beach"
Clogherhead Beach,https://www.blueflag.global/show-site?siteId=6579,353429000000,-6.2344532,53.7885745,Louth,Clogher,Ireland,"Fishing,Angling,Kitesurfing,Windsurfing,Activity Operator,Surfing,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach,Sports Venues"
Pontoon Pier,,,-9.8557878,51.655246,Cork,Castletownbere,Ireland,Embarkation Point
Gap of Mamore,,,-7.5012481,55.243401,Donegal,,Ireland,Discovery Point
Askeaton Castle and Franciscan Friary,http://monastic.ie/history/askeaton-franciscan-friary,35361392149,-8.975399,52.603892,Limerick,Askeaton,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Marblehill,,,-7.9019326,55.176389,Donegal,Dunfanaghy,Ireland,Discovery Point
James Fort Kinsale,https://www.castles.nl/james-fort,353215000000,-8.5120806,51.6986056,Cork,,Ireland,"Ruins,Historic Houses and Castle"
Central Arts and Exhibitions Centre,http://www.centralarts.ie,+353(0)864543246,-7.106192193,52.26069911,Waterford,Waterford City,Ireland,"Learning,Art Gallery,Activity Operator"
Bere Island,http://www.bereisland.net,+353(0)2775099,-9.86344539,51.63047154,Cork,,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Sailing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Walking,Island,Offshore Island,Natural Landscape"
Athlumney Castle,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/athlumney-castle-navan,353420000000,-6.675048,53.650359,Meath,Navan,Republic of Ireland,"Castle,Historic Houses and Castle"
Achill Cycle Hub,http://www.irishtrails.ie/Trail/Achill-Cycle-Hub---Loop-1/1144/,+353(0)9847353,-9.990732595,53.96261007,Mayo,Cashel,Republic of Ireland,"Cycling,Island,Offshore Island"
Kanturk Castle,https://www.castles.nl/kanturk-castle,353214000000,-8.9027299,52.164382,Cork,Banteer,Ireland,"Castle,Historic Houses and Castle"
Findlater Church,,+353(0)18378600,-6.263976,53.35462,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Whiddy Island,,,-9.50323505,51.69274356,Cork,Whiddy Island,Ireland,"Island,Offshore Island"
"Ballyboy House, Garden & Woodlands",https://www.garden.ie/gardenstosee/ballyboy-house/,+35352 7465297,-7.9712781,52.2823963,Tipperary,Clogheen,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Castlemorris - Pheasant loop,http://www.irishtrails.ie,,-7.278881549,52.4705016,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
The Manor Gardens,https://www.discoverireland.ie/Arts-Culture-Heritage/the-manor-gardens/48219,,-9.057847354,51.68778695,Cork,Dunmanway,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Glenquin Castle,https://www.limerick.ie/discover/eat-see-do/history-heritage/historic-attractions/glenquin-castle,35361396255,-9.106741,52.3839379,Limerick,Glenquin,Ireland,"Castle,Historic Houses and Castle"
Francis Ledwidge Museum,http://www.francisledwidge.com,353420000000,-6.5274991,53.7071243,Meath,Slane,Ireland,"Covid Safety Charter,Learning,Historic Houses and Castle,Museums and Attraction,Tour"
Ha'penny Bridge,,,-6.263081,53.346307,Dublin,Dublin City Centre,Ireland,Public Sculpture
Black Church Print Studio,http://blackchurchprint.ie/,+353(0)16773629,-6.264056,53.345635,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Activity Operator,Art Gallery"
Port Beach,https://www.blueflag.global/show-site?siteId=6579,353429000000,-6.25549658,53.83764919,Louth,Clogherhead,Republic of Ireland,"Photography,Learning,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach,Sports Venues"
St Iberius Church,,,-6.4621424,52.3391991,Wexford,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ardgillan Castle and Victorian Gardens,https://ardgillancastle.ie,35318492212,-6.1616584,53.5817894,Dublin,Balbriggan,Ireland,"Covid Safety Charter,Learning,Walking,Historic Houses and Castle,Castle,Gardens,Garden,Venue,Music,Cafe,Food and Drink,Local Produce,Restaurant,Tour"
Limerick City Library,http://www.limerickcity.ie/library/,+353(0)61314668,-8.62316,52.665574,Limerick,Limerick City,Republic of Ireland,"Craft,Shopping,Learning,Tracing Your Ancestors,Museums and Attraction,Literary Ireland"
Inish Beg Gardens,http://www.inishbeg.com/gardens-woodlands/,3532821745,-9.3438145,51.5250555,Cork,,Ireland,"Walking,Gardens,Garden"
Mollie Moo’s Pet Farm,https://molliemoos.ie/,353877000000,-7.37065,53.4699713,Westmeath,Mullingar,Ireland,Visitor Farm
Músaem Chorca Dhuibhne - Corca Dhuibhne Regional Museum,http://www.westkerrymuseum.com,353669000000,-10.406184,52.166482,Kerry,Tralee,Republic of Ireland,"Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Carrickmacross Workhouse,http://carrickmacrossworkhouse.com,353430000000,-6.7248991,53.9785998,Monaghan,Carrickmacross,Ireland,"Learning,Photography,Historic Houses and Castle,Museums and Attraction,Tour"
The Chimera Gallery,http://www.chimera-gallery.com,353878000000,-7.3434993,53.5251272,Westmeath,Mullingar,Ireland,Art Gallery
River Inny,http://www.fishinginireland.info,35318842600,-7.323131051,53.66843186,Dublin,Swords,Republic of Ireland,"Fishing,Angling,River,Discovery Point"
James Connolly,http://www.talkingstatuesdublin.ie/statues/connolly/,,-6.254645628,53.34874522,Dublin,,Ireland,"Public Sculpture,Talking Statue"
Dodd's Rock Beach,,,-6.213459105,52.663357,Wexford,Courtown,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Valentia Slate,https://www.facebook.com/ValentiaSlate/,353862000000,-10.3427468,51.9251401,Kerry,,Ireland,"Activity Operator,Natural Landscape,Tour"
Monasterboice High Cross and Round Tower,https://www.visitlouth.ie/explore-and-do/explore-louth/sacred-sites-louth/monasterboice-high-cross-and-round-tower.html,353420000000,-6.4177232,53.7777634,Louth,,Ireland,"Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Tour"
Drewstown Woods - Girley Bog Loop,http://www.irishtrails.ie,+353(0)469248856,-6.933382333,53.67406282,Meath,Kells,Ireland,"Walking,Natural Landscape"
Trá na gCeann (Silver Strand),,,-9.1247356,53.250939,Galway,Barna,Ireland,Discovery Point
Abbeyleix Loops - Killamuck Bog,http://www.irishtrails.ie/Trail/Abbeyleix-Loops---Killamuck-Bog-loop/623/,,-7.353079203,52.90683053,Laois,Abbeyleix,Ireland,"Walking,Natural Landscape"
Cunnamore Pier,,,-9.424822,51.503928,,,,Embarkation Point
James Larkin,http://www.talkingstatuesdublin.ie/statues/larkin/,,-6.259937704,53.34907981,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue"
Inis Meáin (Inishmaan) Seaport,,,-9.5879368,53.0894286,Galway,,Ireland,Discovery Point
Great Sugar Loaf Mountain,http://www.visitwicklow.ie,,-6.151,53.152,Wicklow,Kilmacanogue,Ireland,"Walking,Natural Landscape"
Schull Harbour,,,-9.5447695,51.524833,Cork,Schull,Ireland,Embarkation Point
Collon House,http://www.collonhouse.com,353872000000,-6.4864,53.7782,Louth,Collon,Ireland,"Historic Houses and Castle,Castle,Gardens,Garden,Tour"
Lakemount Gardens,http://www.lakemountgarden.com,353868000000,-8.406242,51.924447,Cork,Glanmire,Republic of Ireland,"Gardens,Garden"
Granuaile Visitor Centre,https://www.irishtourist.com/things-to-do/granuaile-visitor-centre,3539866341,-9.809611,53.763985,Mayo,Louisburgh,Republic of Ireland,Museums and Attraction
Tír na Sí,http://www.tirnasi.com,353215000000,-8.3474797,52.0291372,Cork,Watergrasshill,Ireland,"Covid Safety Charter,Restaurant,Visitor Farm,Cafe,Food and Drink,Local Produce,Activity Operator"
Tours Of The Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194116,-6.25366,53.338393,Dublin,Dublin City Centre,Republic of Ireland,"Historic Houses and Castle,Tour"
Irish Whiskey Museum,http://www.irishwhiskeymuseum.ie,+353(0)15250970,-6.259589373,53.34424924,Dublin,,Republic of Ireland,"Activity Operator,Museums and Attraction,Food and Drink,Pubs and Bar,Food Shops,Shopping,Tour"
Fore Abbey,https://heritageireland.ie/visit/places-to-visit/fore-abbey/,353450000000,-7.227154,53.683924,Westmeath,Fore,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
O'Driscoll Garden Centre,https://www.facebook.com/ODriscoll-Garden-Centre-449803402105043/,35350421636,-7.7973804,52.6702947,Tipperary,,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Coolcarrigan House,http://www.coolcarrigan.ie,+353(0)45863527,-6.851319069,53.31908404,Kildare,Naas,Republic of Ireland,"Castle,Historic Houses and Castle"
Whitefriar Street Church,http://www.carmelites.ie,+353(0)14758821,-6.266452,53.339835,Dublin,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Food Shops,Shopping"
Killary Monastic Site,,,-6.546373,53.707926,Meath,Slane,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Glanteenassig Wood,http://www.coillteoutdoors.ie,+353(0)667163378,-10.02929126,52.20570913,Kerry,Castlegregory,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Cú Chulainn,http://www.talkingstatuesdublin.ie/statues/cu-chulainn/,,-6.260721,53.349349,Dublin,,Ireland,"Public Sculpture,Talking Statue,Cafe,Food and Drink,Food Shops,Shopping"
Irish Working Sheepdogs,http://www.irishworkingsheepdogs.com/,353878000000,-6.3273762,53.0115036,Wicklow,,Ireland,"Agriculture,Nature and Wildlife,Visitor Farm"
Irish Theatre Summer School,http://www.gaietyschool.com,+353(0)16799277,-6.26073,53.3464,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Activity Operator,Literary Ireland"
Gour Discovery Point,,,-9.9834134,51.6298431,Cork,,Ireland,Discovery Point
Moygara Castle,http://www.loughgaralakesandlegends.ie/lough-gara/moygara-castle,353719000000,-8.4751904,53.9718301,Sligo,,Ireland,"Castle,Historic Houses and Castle"
Kilgarvan Motor Museum,https://www.facebook.com/Kilgarvan-Motormuseum-708264642618370,353647000000,-9.434164,51.889134,Kerry,,Ireland,"Museums and Attraction,Cafe,Food and Drink,Tour"
Angling at Jerpoint Park,http://jerpointpark.com/activities-events/fishing-2/,+353(0)866061449,-7.166836,52.512917,Kilkenny,Thomastown,Ireland,"Fishing,Angling,Activity Operator,Natural Landscape"
Skerries Mills,http://www.skerriesmills.ie,+353(0)18495208,-6.110148,53.574331,Dublin,Skerries,Republic of Ireland,"Covid Safety Charter,Craft,Shopping,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Food Shops"
Adare Franciscan Friary,http://www.adaremanor.com,35361396204,-8.779736133,52.55186692,Limerick,Adare,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
Sea Life Aquarium Bray,https://www.visitsealife.com/bray/,35312866939,-6.098144047,53.20343423,Wicklow,Bray,Republic of Ireland,"Covid Safety Charter,Zoos and Aquarium"
Adelaide Road Presbyterian Church,http://www.adelaideroadchurch.ie,+353(0)12694944,-6.258781,53.332501,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Bay Garden,http://www.thebaygarden.com,353539000000,-6.443575,52.608613,Wexford,Camolin,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
St Multose Church,,353215000000,-8.525568,51.70585,Cork,Kinsale,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Cape Clear Heritage Centre,http://www.capeclearisland.ie/heritageCentre,3532839119,-9.49512149,51.43300827,Cork,Cape Clear Island,Republic of Ireland,Museums and Attraction
Slieveardagh Heritage Centre,http://www.slieveardagh.com/business/slieveardagh-enterprise-centre,+353(0)529156165,-7.672186,52.56818,Tipperary,Killenaule,Republic of Ireland,"Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction"
Ballymastocker Strand,,,-7.5952649,55.183983,Donegal,Portsalon,Ireland,Discovery Point
Bog of Allen Nature Centre,http://www.ipcc.ie/visitor-attraction,35345860133,-6.942346,53.278587,Kildare,Rathangan,Ireland,"Walking,Museums and Attraction,Natural Landscape,Cafe,Food and Drink,Tour"
Tubberpatrick,http://visitlongford.ie/listings/toberpatrick-cemetery-and-holy-well,353433000000,-7.817613964,53.72476692,Longford,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
St Joseph's Redemptorist Church,https://www.redemptoristsdundalk.ie,353429000000,-6.3895579,54.0042289,Louth,Dundalk,Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
St. Laurence's Gate - Drogheda Walls,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/st-laurences-gate-drogheda-walls,353420000000,-6.347102,53.71591,Louth,Drogheda,Republic of Ireland,"Photography,Learning,Historic Houses and Castle"
Skerries South Beach,,,-6.104546596,53.58075891,Dublin,Skerries,Ireland,Beach
Kerry International Dark-Sky Reserve,http://www.kerrydarkskytourism.com/,+353(0)877845688,-10.09249034,52.02430573,Kerry,,Ireland,"Learning,Photography,Natural Landscape"
Clonohill Gardens,https://www.gardensofireland.org/directory/31/,353579000000,-7.625490356,52.98564781,Laois,Coolrain,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
The Four Courts,http://www.courts.ie/,+353(0)18886000,-6.273526,53.34591,Dublin,,Republic of Ireland,Historic Houses and Castle
Inishbofin Heritage Museum & Gift Shop,https://www.facebook.com/InishbofinHeritageMuseum,353880000000,-10.206749,53.613395,Galway,Inishbofin,Ireland,Museums and Attraction
Working Artists Studios,https://www.facebook.com/Working-Artist-Studios-184258858280445/,353862000000,-9.4614566,51.5627245,Cork,Ballydehob,Ireland,"Craft,Shopping,Learning,Art Gallery"
Duleek Abbey,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/duleek-abbey,353420000000,-6.4221752,53.6547501,Meath,Duleek,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Cahore Beach ,,,-6.197159,52.5590215,Wexford,Cahore,Ireland,Beach
Crafts of Ireland,http://craftsofireland.ie,353868000000,-7.0886528,53.785466,Cavan,Virginia,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Activity Operator,Art Gallery"
Slieve Bloom Mountains,,,-7.5672222,53.0933333,Laois,,Ireland,"Walking,Natural Landscape"
Experience Gaelic Games,https://experiencegaelicgames.com,35312544292,-6.263118,53.374288,Dublin,Glasnevin,Ireland,"Restaurant,Gaa,Learning,Activity Operator,Food and Drink,Pubs and Bar"
Dublin Art Life,http://dublinartlife.com,,-6.2603097,53.3498053,Dublin,Dublin City,Republic of Ireland,"Art Gallery,Museums and Attraction"
Aughris Head,,,-8.7570235,54.268943,Sligo,Templeboy,Ireland,Discovery Point
Drimnagh Castle,http://www.drimnaghcastle.org/,+353(0)14502530,-6.33295,53.324844,Dublin,,Republic of Ireland,"Walking,Historic Houses and Castle,Castle,Gardens,Garden,Museums and Attraction,Food Shops,Shopping,Tour"
Droichead Charraig an Logáin (Carrickalegaun Bridge) .,,,-9.6563065,53.288173,Galway,Lettermore,Ireland,Discovery Point
Whiddy Island View Discovery Point,,,-9.582194,51.713113,Cork,,Ireland,Discovery Point
The Gallery Kinsale,http://thegallerykinsale.com,353868000000,-8.5230489,51.7050658,Cork,Kinsale,Ireland,"Craft,Shopping,Learning,Art Gallery,Food Shops"
Cuan an Daingin (Dingle Harbour),,,-10.278091,52.139049,Kerry,Dingle,Ireland,Embarkation Point
Stradbally Medieval Church,,3535841741,-7.460793487,52.13043387,Waterford,Stradbally,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Dún An Óir,"http://www.megalithicireland.com/Dun%20an%20Oir,%20Smerwick.html",,-10.4149455,52.1901965,Kerry,Smerwick,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kilfane Church,,353568000000,-7.118503,52.555069,Kilkenny,Thomastown,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Marlfield House & Gardens,https://www.marlfieldhouse.com/,353539000000,-6.275211,52.668747,Wexford,Gorey,Ireland,"Walking,Gardens,Garden"
Teach Mhuiris,https://www.gaothdobhair.ie/en/tourist-attractions-gweedore/teach-mhuiris,353750000000,-8.292346461,55.07528477,Donegal,Derrybeg,Ireland,"Castle,Historic Houses and Castle"
Kildare Town Heritage Centre,http://www.kildareheritage.com,35345530672,-6.910412,53.1569873,Kildare,,Ireland,"Covid Safety Charter,Learning,Historic Houses and Castle,Shopping,Tour"
Portmagee Harbour,,,-10.365681,51.886058,Kerry,Portmagee,Ireland,Embarkation Point
Derrymore Beach,,+353(0)667121288,-9.842923401,52.24068427,Kerry,Derrymore,Republic of Ireland,Beach
St. Carthage's Cathedral Lismore,http://www.discoverlismore.com,3535854975,-7.9292165,52.1398466,Waterford,Lismore,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Desmond Castle Adare,https://heritageireland.ie/places-to-visit/adare-castle/,35361396666,-8.78202,52.569504,Limerick,Adare,Ireland,"Photography,Learning,Historic Houses and Castle,Castle,Ruins,Tour"
Wren’s Wood Garden,http://visitwicklow.ie/attraction/wrens-wood-garden/,35312810274,-6.101017576,53.05493003,Wicklow,Ashford,Ireland,"Gardens,Garden"
Ballymore Historic Features,http://www.ballymorehistoricfeatures.com,353868000000,-6.374547,52.598346,Wexford,Ballymore,Republic of Ireland,"Museums and Attraction,Tour"
The Ballinglen Museum of Art,http://www.ballinglenartsfoundation.org,3539643184,-9.3722177,54.2797399,Mayo,Ballycastle,Ireland,"Craft,Shopping,Photography,Learning,Art Gallery,Museums and Attraction"
Elly Bay Beach,https://www.blueflag.global/show-site?siteId=6674,35314002202,-10.09206433,54.15979422,Mayo,,Republic of Ireland,"Bird Watching,Nature and Wildlife,Sailing,Activity Operator,Surfing,Swimming,Swimming Pools and Water Park,Venue,Beach"
Abbeyderg Abbey and Graveyard,http://visitlongford.ie/listings/abbeyderg-abbey,353433000000,-7.789106677,53.6334654,Longford,Kenagh,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
Glasnevin Cemetery Museum,http://www.glasnevinmuseum.ie,35318826550,-6.2770874,53.37003,Dublin,Glasnevin,Ireland,"Walking,Tracing Your Ancestors,Gardens,Garden,Museums and Attraction,Public Sculpture,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Freshford Loop,http://www.trailkilkenny.ie,,-7.399741169,52.73450163,Kilkenny,Freshford,Republic of Ireland,"Walking,Natural Landscape"
Gurteen Beach,,,-9.960840282,53.37948911,Galway,Roundstone,Ireland,Beach
Magilligan Point View,,,-7.0140302,55.22405,Donegal,Greencastle,Republic of Ireland,Discovery Point
Fionn MacCool Loop,http://www.irishtrails.ie/Trail/Fionn-MacCool-Loop---Bonane-Beara/473/,,-9.536642639,51.81601273,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
Brushwood Studios Art Gallery,http://www.brushwoodstudios.com,353647000000,-9.8698743,51.8283045,Kerry,Sneem,Ireland,"Craft,Shopping,Art Gallery"
Clonony Castle,https://facebook.com/ClononyCastle/?fref=ts,353878000000,-7.922767,53.2358989,Offaly,,Ireland,"Photography,Learning,Historic Houses and Castle,Castle"
North Tipperary Genealogy Centre,http://www.tipperarycoco.ie/heritage/genealogy-centre,3536733850,-8.200283933,52.86578066,Tipperary,Nenagh,Republic of Ireland,"Tracing Your Ancestors,Museums and Attraction"
Bishop's Quarter ,,,-9.127942,53.1291281,Clare,Ballyvaughan,Ireland,"Swimming,Swimming Pools and Water Park,Venue,Beach,Natural Landscape"
National Print Museum,https://www.nationalprintmuseum.ie,35316603770,-6.2354701,53.3352901,Dublin,,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Tour"
Balbriggan Beach,,+353(0)18400077,-6.182411859,53.61201653,Dublin,Swords,Republic of Ireland,Beach
Killoughternane,,,-6.824711153,52.66285596,Carlow,Bagenalstown,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Kerry Geopark,https://www.facebook.com/kerrygeopark,+353(0)877934663,-9.897747,51.837759,Kerry,Sneem,Republic of Ireland,"Walking,Natural Landscape,Activity Operator"
